Food,Ayurvedic_Taste
Dal parantha/paratha,Astringent (Kashaya)
Baked stuffed fish,Sweet (Madhura)
Vegetable namkeen jave,Sweet (Madhura)
Mango pickle (Aam ka achaar),Sour (Amla)
Chinese fried rice,Sweet (Madhura)
"Fish, tuna, light, canned in water, drained solids",Sweet (Madhura)
Onion tomato uttapam,Pungent (Katu)
Vegetarian nargisi kofta curry,Sweet (Madhura)
Bread roll,Sweet (Madhura)
Shahi paneer,Sweet (Madhura)
Small onion pickle,Sour (Amla)
Meringue and rice pudding,Sweet (Madhura)
Green gram whole with baghar (Sabut moong dal with tadka),Astringent (Kashaya)
Vegetable chowmein,Sweet (Madhura)
Pea vadi curry,Sweet (Madhura)
Plain parantha/paratha,Sweet (Madhura)
Arhar with spinach (Arhar dal aur palak),Bitter (Tikta)
Vegetable samosa,Sweet (Madhura)
Fermented bamboo shoot pickle (Mesu pickle),Sour (Amla)
Rice puttu (Ari puttu),Sweet (Madhura)
Chilli paneer,Pungent (Katu)
Cream of carrot soup,Sweet (Madhura)
Cream of green peas soup,Sweet (Madhura)
Vegetable poha,Sweet (Madhura)
Paneer potato cutlet (Paneer aloo cutlet),Sweet (Madhura)
Milk cookies,Sweet (Madhura)
Cream of potato soup,Sweet (Madhura)
Keema parantha/paratha,Sweet (Madhura)
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Astringent (Kashaya)
Tomato ketchup,Salty (Lavana)
Jackfruit kofta curry (Kathal ka kofta curry),Sweet (Madhura)
Spanish rice,Sweet (Madhura)
Namkeen daliya,Astringent (Kashaya)
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),Astringent (Kashaya)
Gun powder chutney,Sour (Amla)
Potato parantha/paratha (Aloo ka parantha/paratha),Sweet (Madhura)
Eggless cake,Sweet (Madhura)
Vegetable and mayonnaise sandwich,Salty (Lavana)
Cold summer garden soup,Sweet (Madhura)
Poha,Sweet (Madhura)
Beans foogath,Astringent (Kashaya)
Cabbage raita (Pattagobhi raita),Sweet (Madhura)
Bottle gourd soup (Ghiya/Lauki soup),Sweet (Madhura)
Rice upma,Sweet (Madhura)
Saffron milk (Kesariya doodh),Sweet (Madhura)
Paneer in butter sauce,Salty (Lavana)
Dates chutney (Khajoor ki chutney),Sour (Amla)
"Sauce, pasta, spaghetti/marinara, ready-to-serve",Salty (Lavana)
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Sweet (Madhura)
Sesame chickpeas brittle (Til aur channe ki chikki),Astringent (Kashaya)
Ghiya/Lauki Kofta Curry,Sweet (Madhura)
Vegetable burger,Salty (Lavana)
Paushtik roti,Sweet (Madhura)
Paneer lababdar,Sweet (Madhura)
Spicy chutney sandwich,Sour (Amla)
Green tomato pickle (Haray tamatar ka achaar),Sour (Amla)
Short bread cookies,Sweet (Madhura)
Washed urad dal (Dhuli urad ki dal),Astringent (Kashaya)
Pea keema curry (Matar keema ki sabzi),Sweet (Madhura)
Caramel custard (steamed),Sweet (Madhura)
Idli,Sweet (Madhura)
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),Astringent (Kashaya)
Plum chutney (Aloo bukhara ki chutney),Sour (Amla)
Semolina idli (Suji/Rava idli),Sweet (Madhura)
Egg sauce,Salty (Lavana)
Carrot halwa (Gajar ka halwa),Sweet (Madhura)
Sweet corn soup,Sweet (Madhura)
Sprouted moong poha,Astringent (Kashaya)
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),Astringent (Kashaya)
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Sweet (Madhura)
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),Sour (Amla)
"Bread, white, commercially prepared",Sweet (Madhura)
Paneer pakora/pakoda,Sweet (Madhura)
Carrot and spinach raita (Gajar aur palak ka raita),Bitter (Tikta)
Whey soup,Sweet (Madhura)
Ginger bread man,Pungent (Katu)
Sprouted moong daliya,Astringent (Kashaya)
Black forest gateau,Sweet (Madhura)
Lotus stem kofta curry (Kamal kakdi kofta curry),Sweet (Madhura)
Cereal mix,Sweet (Madhura)
Paneer kaathi roll,Sweet (Madhura)
Coconut pickle (Nariyal ka aachar),Sour (Amla)
Garlic pickle (Lahasun ka achar),Sour (Amla)
Rice flakes and roasted channa,Astringent (Kashaya)
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),Astringent (Kashaya)
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),Sweet (Madhura)
Green pea soup (Matar ka soup),Sweet (Madhura)
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),Astringent (Kashaya)
Beetroot and egg salad (Chukandar aur ande ka salad),Sweet (Madhura)
